Full List of Pokemon Champions Stats - Regulation M-A - The Game Haus

- [Best Pokemon Champions Builds (Meta Tier List & Guide)](https://thegamehaus.com/pokemon-champions/best-pokemon-champions-builds-early-meta-tier-list-guide/2026/04/09/)

Sports

- [Mock Drafts](https://thegamehaus.com/category/nfl-draft/mock-drafts/)
- [NFL Draft Big Board](https://thegamehaus.com/category/nfl-draft/nfl-draft-big-board/)
- [NFL Player Profiles](https://thegamehaus.com/category/nfl-draft/nfl-player-profiles/)
- [NFL Team Mock Drafts](https://thegamehaus.com/category/nfl-draft/nfl-team-mock-drafts/)

- [Contact Us](https://thegamehaus.com/contact-us/)
- [The Game Haus Team](https://thegamehaus.com/the-game-haus-team/)
- [Privacy Policy](https://thegamehaus.com/privacy-policy/)

[Home](https://thegamehaus.com/)» Full List of Pokemon Champions Stats – Regulation M-A

# Full List of Pokemon Champions Stats – Regulation M-A

Robert Hanes

Publish Date: April 11, 2026

[Share via Whatsapp](whatsapp://send?text=https%3A%2F%2Fthegamehaus.com%2Fpokemon-champions%2Ffull-list-of-pokemon-champions-stats-regulation-m-a%2F2026%2F04%2F11%2F) [Share via Facebook](https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fthegamehaus.com%2Fpokemon-champions%2Ffull-list-of-pokemon-champions-stats-regulation-m-a%2F2026%2F04%2F11%2F) [Share via Twitter](https://twitter.com/intent/tweet?text=Full+List+of+Pokemon+Champions+Stats+%26%238211%3B+Regulation+M-A&url=https%3A%2F%2Fthegamehaus.com%2Fpokemon-champions%2Ffull-list-of-pokemon-champions-stats-regulation-m-a%2F2026%2F04%2F11%2F)

Pokemon Stats have changed forever with the launch of Pokemon Champions. Each Regulation will have new Pokemon and Regulation M-A has 185, not including Megas and other Forms. Here are all of the stats for each Pokemon including their Mega Evolutions.

For more Pokemon guides, builds and walkthroughs, check out our [Pokemon hub](https://thegamehaus.com/pokemon/).

Looking to improve competitively? Visit our [Pokemon Champions guides](https://thegamehaus.com/pokemon-champions/) for builds, tier lists and strategies.

---

## Pokemon Champions Stats: Regulation M-A

Below is a list of all of the Pokemon Champions Stats for Regulation M-A. These are all Base Stats for each Pokemon without Natures or Stat Points being added. All Pokemon Stats have been increased for Champions. The new changes across the board at +75 to HP and +20 to Attack, Defense, Special Attack, Special Defense and Speed.

**Note, that if any change occurs with future Patch Notes, this will be updated.

You can also see our latest Build for these Pokemon on our [Best Pokemon Champions Builds (Early Meta Tier List & Guide)](https://thegamehaus.com/pokemon-champions/best-pokemon-champions-builds-early-meta-tier-list-guide/2026/04/09/) Page.

| Name | HP | Atk | Def | Sp. Atk | Sp. Def | Spd | Total |
- [Top 10 Highest Defense Pokemon in Pokemon Champions](https://thegamehaus.com/pokemon-champions/top-10-highest-defense-pokemon-in-pokemon-champions/2026/04/12/)
- [Top 10 Highest Special Attack Pokemon in Pokemon Champions](https://thegamehaus.com/pokemon-champions/top-10-highest-special-attack-pokemon-in-pokemon-champions/2026/04/12/)
- [Top 10 Highest Special Defense Pokemon in Pokemon Champions](https://thegamehaus.com/pokemon-champions/top-10-highest-special-defense-pokemon-in-pokemon-champions/2026/04/12/)
- [Top 10 Fastest Pokemon in Pokemon Champions](https://thegamehaus.com/pokemon-champions/top-10-fastest-pokemon-in-pokemon-champions/2026/04/11/)

---

#### Stay Connected

You can read more pieces like “Best Pokemon Champions Builds” and ‘ [Like](https://www.facebook.com/thegamehausesports/)’ The Game Haus on Facebook and ‘ [Follow](https://twitter.com/TGHEsports)’ us on Twitter for more sports and esports articles from other great TGH writers along with [Robert](https://twitter.com/TGHRobertHanes)!

“From Our Haus to Yours”

### Leave A Reply

Name *

Email (not public) *

Website (not public) *

Phone (not public) *

Write a comment

* required

##### Read Also

##### Entire Pokemon Emerald Seaglass Pokedex

One of the best new Rom Hacks in the Pokemon community is ...

##### Call of Duty Modern Warfare III Season 1 Full Patch Notes

Patch notes for Call of Duty: Modern Warfare III have been released. ...

##### All LoL Season 14 Item Changes: What is Known So Far

The next League of Legends season is bringing with it some major ...

##### Forza Motorsport: All Cars In The Game

With Forza Motorsport finally released, everyone's starting their engines and hitting the ...

##### Full Forza Motorsport Car List

Calling all car enthusiasts because Forza just might be the game for ...

Our Team

Joe DiTullio

Robert Hanes

Connor Knudsen

[Pittsburgh Steelers 2025 NFL Mock Draft Vol. 1](https://www.youtube.com/watch?v=7jUPAy1Ao6k)

[Pittsburgh Steelers 2025 NFL Mock Draft Vol. 1](https://www.youtube.com/watch?v=7jUPAy1Ao6k)

[Pittsburgh Steelers 2025 NFL Mock Draft Vol. 1](https://www.youtube.com/watch?v=7jUPAy1Ao6k)

[Pittsburgh Steelers 2025 NFL Mock Draft Vol. 1](https://www.youtube.com/watch?v=7jUPAy1Ao6k)

The Game Haus aims to bring unbiased, factually sound opinions to audiences across a range of mediums that are not readily accessible in the day-to-day media outlets. We cover the latest news in Gaming, Call of Duty, CS:GO, League of Legends, Dota 2, Fighting Games, NBA 2K, Halo, Hearthstone, Overwatch, Pokemon, Rocket League, Smite, Starcraft II, Fantasy Sports, MLS, EPL, MLB, NASCAR, NBA, NCAAB, NCAAF, NFL, NHL, and PGA. Next to our unbiased coverage for esports and sports, have a look at our iGaming content. If you are looking for the most recommended [Esports Betting Sites](https://thegamehaus.com/igaming/esports-betting/) or [Best Sports Betting Sites](https://thegamehaus.com/igaming/betting/), look no further. We also cover the [Best Sweepstakes Casinos](https://thegamehaus.com/igaming/sweepstakes/) in our free 2 play section and have a closer look at the [Best DFS Sites](https://thegamehaus.com/igaming/daily-fantasy-sports/) out there. If you are looking for some real money options, check how we ranked the [Best Online Casinos](https://thegamehaus.com/igaming/casino/). Follow us on Social Media for updates!Sports: [Facebook](https://www.facebook.com/thegamehaussports/)| [Twitter](https://twitter.com/tghsports) Esports: [Facebook](https://www.facebook.com/thegamehausesports/)| [Twitter](https://twitter.com/thgesports)

Players must be 21 years of age or older or reach the minimum age for gambling in their respective state and located in jurisdictions where online gambling is legal. Please play responsibly. Bet with your head, not over it. If you or someone you know has a gambling problem, and wants help, call or visit: (a) the Council on Compulsive Gambling of New Jersey at 1-800-Gambler or www.800gambler.org; or (b) Gamblers Anonymous at 855-2-CALL-GA or www.gamblersanonymous.org.

Your Promo Code:

The bonus offer of was already opened in an additional window. If not, you can open it also by clicking the following link:

Play now
